,GeneID,TotalCount,Hippocampus
1,ENSG00000210082.2,1308291701,Hippocampus
2,ENSG00000198804.2,1074821691,Hippocampus
3,ENSG00000198886.2,797405080,Hippocampus
4,ENSG00000198938.2,543945796,Hippocampus
5,ENSG00000198712.1,475528192,Hippocampus
6,ENSG00000198763.3,382699519,Hippocampus
7,ENSG00000198727.2,375552108,Hippocampus
8,ENSG00000198888.2,368845363,Hippocampus
9,ENSG00000198899.2,367594301,Hippocampus
10,ENSG00000211459.2,255832654,Hippocampus
11,ENSG00000197971.16,244262270,Hippocampus
12,ENSG00000198786.2,179258458,Hippocampus
13,ENSG00000131095.14,131489546,Hippocampus
14,ENSG00000198840.2,84715993,Hippocampus
15,ENSG00000123560.14,84243645,Hippocampus
16,ENSG00000212907.2,74808089,Hippocampus
17,ENSG00000198695.2,50246233,Hippocampus
18,ENSG00000228253.1,45899428,Hippocampus
19,ENSG00000180354.16,45417677,Hippocampus
20,ENSG00000248527.1,40539401,Hippocampus
